steps,train_loss,train_acc,val_acc
254,0.6984237337627673,0.5019646365422397,0.6277777777777778
509,0.6773455128922677,0.5766208251473477,0.6444444444444445
763,0.6680072688869034,0.600196463654224,0.6666666666666667
1018,0.6572735156197913,0.6227897838899803,0.7000000000000001
1272,0.6345212450196092,0.6689587426326129,0.75
1527,0.6248414882976554,0.6954813359528487,0.788888888888889
1781,0.6055571744858868,0.7200392927308448,0.7833333333333333
2036,0.6015252948744124,0.7170923379174852,0.7777777777777778
2290,0.5805484658374299,0.74950884086444,0.8222222222222223
2545,0.5827216607882606,0.7426326129666011,0.8277777777777778
2799,0.5757773677820307,0.7554027504911591,0.8166666666666667
3054,0.5806394676679713,0.730844793713163,0.8222222222222223
3308,0.577964000359968,0.7396856581532416,0.7944444444444445
3563,0.5900272168438655,0.7151277013752455,0.8388888888888889
3817,0.578238717465129,0.7504911591355599,0.8222222222222223
4072,0.5790469501248043,0.7357563850687622,0.8333333333333334
4326,0.5809747709038215,0.7387033398821218,0.8277777777777778
4581,0.5829656845460004,0.730844793713163,0.8222222222222223
4835,0.5819347260743087,0.737721021611002,0.8222222222222223
5090,0.577071638437526,0.7387033398821218,0.7944444444444445
5344,0.577152354426843,0.74950884086444,0.8388888888888889
