steps,train_loss,train_acc,val_acc
254,0.5960768092357808,0.7436149312377209,0.8111111111111111
509,0.3792621451183012,0.8565815324165029,0.8388888888888889
763,0.333708988601426,0.8585461689587426,0.8555555555555556
1018,0.29481620790916246,0.8860510805500982,0.8555555555555556
1272,0.28954922198546656,0.8889980353634577,0.8444444444444444
1527,0.2570202357642543,0.8948919449901768,0.8777777777777778
1781,0.22829813397469362,0.9027504911591355,0.8944444444444445
2036,0.2142395605506972,0.9204322200392927,0.888888888888889
2290,0.22427475358741925,0.9135559921414538,0.8777777777777778
2545,0.20481362874475115,0.924361493123772,0.888888888888889
2799,0.20935143351789073,0.9184675834970529,0.888888888888889
3054,0.19486712343800514,0.9253438113948919,0.8944444444444445
3308,0.19991660709465417,0.9184675834970529,0.9055555555555556
3563,0.19800413322355048,0.9184675834970529,0.8833333333333334
3817,0.2111964994540149,0.9155206286836934,0.8944444444444445
4072,0.19727821908671636,0.9223968565815324,0.8944444444444445
4326,0.19506814010251014,0.9214145383104125,0.9055555555555556
4581,0.20016249141899214,0.9214145383104125,0.888888888888889
4835,0.19381044403977385,0.9253438113948919,0.8833333333333334
5090,0.197364702030343,0.9204322200392927,0.9
