steps,train_loss,train_acc,val_acc
254,0.8753560361843428,0.6676499508357916,0.6850828729281768
508,0.7350944122381969,0.7197640117994101,0.6961325966850829
762,0.7053820252887385,0.7227138643067847,0.6685082872928176
1017,0.640812225046411,0.7492625368731564,0.6298342541436464
1271,0.6595742383068877,0.7551622418879056,0.718232044198895
1525,0.5991516522953292,0.7669616519174042,0.6961325966850829
1779,0.5564068643744364,0.7699115044247788,0.729281767955801
2034,0.5416830661491424,0.7866273352999017,0.6961325966850829
2288,0.5207999375014178,0.808259587020649,0.712707182320442
2542,0.5367954929552482,0.808259587020649,0.723756906077348
2796,0.5255125116926848,0.8131760078662734,0.6685082872928176
3051,0.5311596119884427,0.7905604719764012,0.723756906077348
3305,0.5328344123670602,0.7994100294985251,0.7403314917127072
3559,0.5370521297497032,0.7974434611602753,0.7513812154696132
3813,0.5179551952356434,0.8112094395280236,0.718232044198895
4068,0.5240300361034089,0.8102261553588987,0.723756906077348
4322,0.5469564773809007,0.8112094395280236,0.7403314917127072
4576,0.5438025512292087,0.7954768928220256,0.7016574585635359
4830,0.5214296823757588,0.7944936086529008,0.729281767955801
5085,0.5401615211511197,0.7954768928220256,0.718232044198895
5339,0.5293986767442529,0.80039331366765,0.7071823204419889
