steps,loss,train_acc,val_acc
329,0.5208785995282421,0.761904761904762,0.8957345971563981
658,0.41045925818315754,0.8389057750759878,0.8672985781990522
987,0.4658091892285429,0.8085106382978724,0.8720379146919433
1316,0.39206788143126076,0.828774062816616,0.8767772511848342
1645,0.396689506272173,0.844984802431611,0.9004739336492892
1974,0.3751202067766025,0.8318135764944277,0.8483412322274883
2303,0.3660414465292609,0.844984802431611,0.8246445497630333
2632,0.3440531166430785,0.8561296859169201,0.8909952606635072
2961,0.35570877816116675,0.8642350557244175,0.9194312796208531
3290,0.3160690677322998,0.8794326241134752,0.9194312796208531
3619,0.3512381003771389,0.8459979736575481,0.9052132701421801
3948,0.310849792111699,0.8875379939209727,0.8957345971563981
4277,0.31801831290473087,0.8824721377912867,0.8720379146919433
4606,0.28126869511459374,0.8875379939209727,0.8957345971563981
4935,0.31755665532693556,0.8774062816616008,0.9004739336492892
5264,0.31550749737803335,0.8753799392097265,0.8767772511848342
5593,0.29261529530193786,0.8804457953394125,0.9194312796208531
5922,0.2986067577917223,0.889564336372847,0.9052132701421801
6251,0.31520813747319526,0.8814589665653496,0.8909952606635072
6580,0.29540126307998626,0.8855116514690984,0.8246445497630333
6909,0.3038427776599486,0.8986828774062817,0.9194312796208531
7238,0.2926897266398447,0.8996960486322189,0.9194312796208531
7567,0.287981511732486,0.8814589665653496,0.9146919431279622
7896,0.302125769636189,0.8713272543059778,0.9146919431279622
8225,0.31083316270643213,0.8875379939209727,0.8909952606635072
8554,0.3427964496938653,0.8682877406281663,0.8530805687203792
8883,0.31837217055313977,0.8844984802431611,0.9004739336492892
9212,0.30569519121822614,0.8784194528875381,0.8815165876777252
9541,0.28868574485288445,0.9027355623100305,0.9146919431279622
9870,0.28576952043124365,0.8844984802431611,0.9146919431279622
10199,0.310208426024142,0.8814589665653496,0.8909952606635072
10528,0.3084717314414823,0.883485309017224,0.9146919431279622
10857,0.3324208600784387,0.8693009118541034,0.9052132701421801
11186,0.306082286340729,0.8824721377912867,0.9052132701421801
11515,0.32020234715914414,0.8794326241134752,0.9099526066350712
11844,0.3189063939061148,0.8743667679837893,0.9099526066350712
12173,0.3099442643718275,0.8865248226950355,0.8815165876777252
12502,0.31919309195685897,0.8814589665653496,0.9099526066350712
12831,0.2889228546812662,0.8915906788247214,0.9052132701421801
13160,0.3298905877568198,0.8642350557244175,0.8957345971563981
13489,0.32748317920811393,0.8743667679837893,0.9099526066350712
13818,0.2709933209564186,0.8915906788247214,0.9004739336492892
14147,0.33786117801067195,0.8662613981762919,0.9146919431279622
14476,0.32653609392249233,0.8713272543059778,0.9146919431279622
14805,0.32375997108649823,0.8703140830800405,0.8815165876777252
15134,0.3133325369041621,0.8824721377912867,0.8862559241706162
15463,0.32752352533248663,0.8753799392097265,0.9052132701421801
15792,0.3165970510202097,0.8885511651469099,0.8815165876777252
16121,0.31962085987055316,0.8662613981762919,0.8862559241706162
16450,0.32590195772322056,0.883485309017224,0.9052132701421801
