steps,train_loss,train_acc,val_acc
509,0.7173962057046666,0.6414538310412573,0.6444444444444445
1018,0.585276004958949,0.7013752455795678,0.7555555555555555
1527,0.5894605837952646,0.6984282907662082,0.5666666666666667
2036,0.5334868132189824,0.7269155206286836,0.5222222222222223
2545,0.4626598983183357,0.7848722986247544,0.6333333333333333
3054,0.4247437227217294,0.8133595284872298,0.5444444444444445
3563,0.3960930813974856,0.8320235756385068,0.6055555555555556
4072,0.37784862263614866,0.8428290766208251,0.65
4581,0.34912365947233437,0.8536345776031433,0.7000000000000001
