steps,train_loss,train_acc,val_acc
127,0.8658553428706166,0.6656833824975418,0.6795580110497237
254,0.6709758534426769,0.7384464110127827,0.6850828729281768
381,0.632536385146097,0.7492625368731564,0.7513812154696132
508,0.5918612354741805,0.7777777777777778,0.6740331491712707
635,0.6120534668747069,0.767944936086529,0.6850828729281768
762,0.5601519945214045,0.7758112094395281,0.718232044198895
889,0.5151391549799647,0.8043264503441495,0.6850828729281768
1017,0.513196533877355,0.8013765978367748,0.729281767955801
1144,0.4908041841512584,0.8249754178957719,0.7016574585635359
1271,0.4840052229816583,0.817109144542773,0.718232044198895
