steps,loss,train_acc,val_acc
247,1.0500158438919045,0.6325910931174089,0.5924170616113744
494,0.8735135854014501,0.6649797570850202,0.6682464454976303
741,0.7944261377398302,0.6993927125506073,0.6540284360189574
988,0.7983390581511293,0.7145748987854251,0.7393364928909953
1235,0.7319584333220956,0.7419028340080972,0.6635071090047394
1482,0.7008960704933777,0.7378542510121457,0.7014218009478673
1729,0.6366614728924717,0.7338056680161943,0.6587677725118484
1976,0.5793086258988631,0.77834008097166,0.7109004739336493
2223,0.5668947563962898,0.7904858299595142,0.7014218009478673
2470,0.5406229678797818,0.7965587044534413,0.7109004739336493
2717,0.5041404637368584,0.812753036437247,0.7109004739336493
2964,0.46730715627612374,0.819838056680162,0.6824644549763034
3211,0.5030876587518314,0.8137651821862348,0.7203791469194314
3458,0.5269535562770087,0.8026315789473685,0.7203791469194314
3705,0.5140857712821922,0.8066801619433198,0.7109004739336493
3952,0.4776741308480622,0.8248987854251012,0.7298578199052134
4199,0.48028171291718114,0.826923076923077,0.7156398104265403
4446,0.4934366506482908,0.8046558704453441,0.7251184834123223
4693,0.5058786327298354,0.8117408906882592,0.7251184834123223
4940,0.4952383695947014,0.8178137651821863,0.7061611374407584
5187,0.4752666701672048,0.826923076923077,0.6919431279620853
5434,0.4898753440693805,0.819838056680162,0.7298578199052134
5681,0.47095456055784035,0.8238866396761134,0.7109004739336493
5928,0.47635773156094646,0.8319838056680162,0.7061611374407584
6175,0.4709923144294183,0.826923076923077,0.7203791469194314
6422,0.46805983576697374,0.8279352226720648,0.6966824644549764
6669,0.4853643551167206,0.8188259109311741,0.7014218009478673
6916,0.4870380047965146,0.812753036437247,0.7156398104265403
7163,0.4929355900538595,0.8350202429149798,0.7109004739336493
7410,0.4860920530823078,0.8117408906882592,0.7203791469194314
7657,0.4968485729655756,0.8299595141700405,0.7298578199052134
7904,0.4775763262621304,0.8188259109311741,0.7156398104265403
8151,0.4820840370799848,0.8309716599190283,0.7203791469194314
8398,0.5190989105445654,0.8087044534412956,0.7061611374407584
8645,0.44709585878530494,0.8309716599190283,0.7251184834123223
8892,0.4751936532707832,0.8238866396761134,0.7156398104265403
9139,0.4496337787704429,0.8309716599190283,0.7061611374407584
9386,0.4943729163664073,0.8147773279352227,0.7061611374407584
9633,0.4660369677823565,0.8188259109311741,0.7298578199052134
9880,0.4895306409370561,0.8259109311740891,0.7298578199052134
10127,0.4851870439675173,0.8168016194331984,0.7251184834123223
10374,0.5048356025445799,0.8046558704453441,0.7061611374407584
10621,0.5078536675647203,0.8107287449392713,0.7203791469194314
10868,0.4787687728038201,0.8238866396761134,0.7203791469194314
11115,0.4781738840616666,0.8117408906882592,0.6872037914691944
11362,0.5148206523917465,0.8157894736842105,0.7251184834123223
11609,0.5173399967220631,0.8168016194331984,0.7298578199052134
11856,0.5041545573999042,0.8208502024291499,0.7251184834123223
12103,0.5060038576845215,0.8178137651821863,0.7109004739336493
12350,0.5202047867089631,0.8208502024291499,0.7156398104265403
