steps,train_loss,train_acc,val_acc
21,0.42666099301021554,0.8005893909626719,0.8277777777777778
42,0.3225527204324314,0.8752455795677799,0.85
63,0.2888233798074816,0.8821218074656187,0.8
84,0.23282424886006503,0.9017681728880157,0.9
106,0.2172741118840478,0.9076620825147347,0.8833333333333334
127,0.22590756989386088,0.9194499017681729,0.8666666666666667
148,0.18783501633726543,0.9233791748526522,0.8666666666666667
169,0.17366493330840277,0.9282907662082515,0.8722222222222222
190,0.15616108292680828,0.9420432220039292,0.8777777777777778
212,0.18075465165034726,0.931237721021611,0.8833333333333334
