steps,train_loss,train_acc,val_acc
508,1.3090554819228961,0.5103244837758112,0.5469613259668508
1017,1.3840178309874782,0.5103244837758112,0.4585635359116022
1525,1.2128470132718983,0.544739429695182,0.3591160220994475
2034,1.1629677402000278,0.568338249754179,0.4861878453038674
2542,1.1504496929099308,0.568338249754179,0.49723756906077343
3051,1.1467559514613044,0.568338249754179,0.49723756906077343
3559,1.1457619215769286,0.568338249754179,0.5027624309392265
4068,1.147464380855054,0.568338249754179,0.46961325966850825
