steps,train_loss,train_acc,val_acc
127,0.8872431612764957,0.6578171091445428,0.712707182320442
254,0.7645884989051106,0.7089478859390365,0.3867403314917127
381,0.7208656241408492,0.7384464110127827,0.3701657458563536
508,0.6665928036765715,0.7600786627335301,0.6408839779005524
635,0.6238581584500938,0.7708947885939037,0.6629834254143646
762,0.5997122468732685,0.7826941986234022,0.6795580110497237
889,0.6167672081331236,0.7689282202556539,0.6353591160220994
1017,0.5919059906502858,0.7787610619469028,0.569060773480663
