steps,loss,train_acc,val_acc
247,1.29501139659148,0.6417004048582996,0.7169811320754716
494,0.758711756482298,0.7155870445344129,0.6981132075471698
741,0.7272213740870055,0.728744939271255,0.7216981132075472
988,0.672503344443163,0.742914979757085,0.7075471698113207
1235,0.6279666433450182,0.7611336032388664,0.7169811320754716
1482,0.6005613200577647,0.7935222672064778,0.7169811320754716
1729,0.5800738281566604,0.7904858299595142,0.7311320754716981
1976,0.5066039480178463,0.8157894736842105,0.7358490566037735
2223,0.5010146959590526,0.8117408906882592,0.7735849056603773
2470,0.4451641442804684,0.819838056680162,0.7735849056603773
2717,0.45706916096722067,0.8238866396761134,0.7452830188679245
