steps,train_loss,train_acc,val_acc
127,0.5775606862337042,0.7662082514734774,0.8777777777777778
254,0.4158166429148676,0.8163064833005893,0.7944444444444445
381,0.3745521716261191,0.8526522593320235,0.888888888888889
509,0.33080687668094,0.8732809430255402,0.8944444444444445
636,0.4053108011809688,0.8369351669941061,0.85
763,0.3753559762110645,0.8438113948919449,0.7166666666666667
890,0.3297572051026732,0.8703339882121807,0.85
1018,0.30161177860261884,0.8565815324165029,0.8555555555555556
1145,0.2799615744054903,0.8899803536345775,0.85
1272,0.28445966099709097,0.8899803536345775,0.8722222222222222
1399,0.27075903565569803,0.8988212180746561,0.85
