steps,loss,train_acc,val_acc
247,0.9352703793690755,0.638663967611336,0.7345971563981043
494,0.8272141910154327,0.6912955465587045,0.7109004739336493
741,0.7731456682990919,0.7064777327935223,0.7345971563981043
988,0.7064569286609951,0.7408906882591093,0.7535545023696683
1235,0.7019717361521625,0.7338056680161943,0.7725118483412323
1482,0.7036618725490956,0.7419028340080972,0.7677725118483413
1729,0.7402459626738359,0.7226720647773279,0.7298578199052134
1976,0.634632011656819,0.7692307692307693,0.7488151658767773
2223,0.6117819392005441,0.7601214574898786,0.7203791469194314
2470,0.5727893535183509,0.7864372469635628,0.7677725118483413
2717,0.595937539329413,0.7793522267206477,0.7535545023696683
2964,0.5894607096789819,0.7904858299595142,0.7535545023696683
3211,0.5887144568719362,0.7844129554655871,0.7488151658767773
3458,0.5829928606627923,0.7813765182186235,0.7819905213270143
3705,0.5584066165120978,0.791497975708502,0.7488151658767773
3952,0.5967530438653853,0.7692307692307693,0.7630331753554503
4199,0.5710758298997455,0.7864372469635628,0.7725118483412323
4446,0.5648751708901363,0.7995951417004049,0.7535545023696683
4693,0.5797544408906327,0.7955465587044535,0.7345971563981043
4940,0.5610130402120018,0.7884615384615384,0.7488151658767773
5187,0.53492246652663,0.8087044534412956,0.7630331753554503
5434,0.553053350644073,0.7995951417004049,0.7345971563981043
5681,0.5679128389609488,0.771255060728745,0.7251184834123223
5928,0.555464736242526,0.7834008097165992,0.7298578199052134
6175,0.5530389225193364,0.7995951417004049,0.7535545023696683
6422,0.5801514720144542,0.7925101214574899,0.7345971563981043
6669,0.5640438534470222,0.7965587044534413,0.7535545023696683
6916,0.5506604540082607,0.7884615384615384,0.7677725118483413
7163,0.5448581199293677,0.7935222672064778,0.7440758293838863
7410,0.567734352972826,0.7884615384615384,0.7440758293838863
7657,0.5499205585674718,0.7925101214574899,0.7535545023696683
7904,0.5255680741206837,0.8006072874493927,0.7582938388625593
8151,0.5318887428595469,0.7935222672064778,0.7440758293838863
8398,0.561590579417553,0.7975708502024291,0.7867298578199052
8645,0.5310602659879908,0.8117408906882592,0.7819905213270143
8892,0.5643617964466574,0.7864372469635628,0.7393364928909953
9139,0.580799591806736,0.7965587044534413,0.7440758293838863
9386,0.5423893173213913,0.798582995951417,0.7677725118483413
9633,0.612033633749012,0.77834008097166,0.7251184834123223
9880,0.5732671731276068,0.8066801619433198,0.7630331753554503
10127,0.5011690668007622,0.8178137651821863,0.7393364928909953
10374,0.5527226371079804,0.8157894736842105,0.7725118483412323
10621,0.5756807049759004,0.7995951417004049,0.7630331753554503
10868,0.5606439665020236,0.7975708502024291,0.7488151658767773
11115,0.5212375910779242,0.8006072874493927,0.7725118483412323
11362,0.5947082807660585,0.7884615384615384,0.7630331753554503
11609,0.5421694895999152,0.8016194331983806,0.7677725118483413
11856,0.5531057449366882,0.7965587044534413,0.7582938388625593
12103,0.5417265609087731,0.8026315789473685,0.7393364928909953
12350,0.5728464237591515,0.7894736842105263,0.7819905213270143
