steps,loss,train_acc,val_acc
247,1.0246463946485327,0.6022267206477733,0.6320754716981132
494,0.8877375968072095,0.6244939271255061,0.6933962264150944
741,0.8383972737711933,0.6730769230769231,0.7358490566037735
988,0.8635355002484341,0.6730769230769231,0.7264150943396226
1235,0.7740189007178009,0.701417004048583,0.7688679245283019
1482,0.7725033903652839,0.7044534412955465,0.6745283018867925
1729,0.7437719930159418,0.72165991902834,0.7405660377358491
1976,0.7849972401312005,0.6902834008097166,0.7075471698113207
2223,0.6738802613879022,0.7398785425101214,0.7735849056603773
2470,0.6736916342848226,0.7439271255060729,0.7405660377358491
