steps,loss,train_acc,val_acc
329,0.5579654133693892,0.7439271255060729,0.8726415094339622
658,0.4403681338497019,0.8238866396761134,0.8962264150943395
988,0.4673037847225,0.8046558704453441,0.8537735849056604
1317,0.3950137729390792,0.8228744939271255,0.8632075471698113
1646,0.3565885319340567,0.8572874493927125,0.9056603773584906
1976,0.3731430303852115,0.8421052631578947,0.9009433962264151
2305,0.3632058011677101,0.8441295546558705,0.8726415094339622
2634,0.3220315919020157,0.8704453441295547,0.8537735849056604
2964,0.3397926141617269,0.8552631578947368,0.8820754716981132
3293,0.2812884861098127,0.888663967611336,0.8820754716981132
