steps,train_loss,train_acc,val_acc
254,1.2222090800134364,0.5034414945919371,0.56353591160221
508,1.0792708661821153,0.568338249754179,0.569060773480663
762,1.017505718484858,0.5712881022615536,0.6243093922651933
1017,0.9784247007810729,0.5860373647984268,0.6187845303867403
1271,0.9387327193510567,0.6086529006882989,0.6685082872928176
1525,0.9375546832469126,0.6037364798426745,0.6740331491712707
1779,0.9027441135198317,0.6342182890855458,0.6685082872928176
2034,0.8931284788904406,0.6548672566371682,0.6629834254143646
2288,0.8589482483258993,0.6676499508357916,0.6574585635359116
2542,0.893402014861768,0.6411012782694199,0.6685082872928176
2796,0.8746178487760831,0.6509341199606686,0.6685082872928176
3051,0.856655300308235,0.6794493608652901,0.6629834254143646
3305,0.8572361270000567,0.6588003933136677,0.6850828729281768
3559,0.8658142210576856,0.6519174041297936,0.6519337016574586
3813,0.8673901673966804,0.6617502458210424,0.6740331491712707
4068,0.866119075313782,0.6647000983284169,0.6574585635359116
4322,0.8683895654500176,0.6627335299901672,0.6629834254143646
4576,0.8689236793311765,0.6470009832841692,0.6685082872928176
4830,0.8761101559082901,0.6647000983284169,0.6519337016574586
5085,0.8454632898582001,0.6705998033431663,0.6629834254143646
