steps,train_loss,train_acc,val_acc
254,0.7396370305703525,0.7455795677799607,0.43333333333333335
509,0.5244924881896242,0.7917485265225933,0.8277777777777778
763,0.4804831742947603,0.805500982318271,0.7222222222222222
1018,0.40564365368812166,0.831041257367387,0.8555555555555556
1272,0.40297504442731147,0.8388998035363457,0.7777777777777778
1527,0.34680533406191116,0.8762278978388998,0.8555555555555556
1781,0.3497701698588482,0.8673870333988212,0.8333333333333334
2036,0.2945710289162128,0.8909626719056973,0.8333333333333334
2290,0.32586718928837355,0.8752455795677799,0.8333333333333334
2545,0.28500011589648916,0.8889980353634577,0.8333333333333334
2799,0.31792224715289996,0.8791748526522593,0.8388888888888889
