steps,train_loss,train_acc,val_acc
509,1.9537650709477763,0.6178781925343811,0.8111111111111111
1018,0.5391386090421021,0.7318271119842829,0.8166666666666667
1527,0.5523169717526389,0.7190569744597249,0.8166666666666667
2036,0.5326647260802668,0.7278978388998035,0.8611111111111112
2545,0.5049217679118829,0.7465618860510805,0.8166666666666667
3054,0.539992456264018,0.7455795677799607,0.8277777777777778
3563,0.5295657241508394,0.7396856581532416,0.7777777777777778
4072,0.4976964770927879,0.756385068762279,0.8222222222222223
4581,0.48347378558751875,0.7632612966601178,0.8166666666666667
5090,0.5197833127439139,0.7396856581532416,0.8388888888888889
5599,0.5098764604517425,0.7455795677799607,0.8111111111111111
