steps,loss,train_acc,val_acc
247,0.9374229750531887,0.6518218623481782,0.2085308056872038
494,0.9255482663630474,0.6659919028340081,0.38388625592417064
741,0.8046894647211198,0.6993927125506073,0.4360189573459716
988,0.7571532177900978,0.7186234817813765,0.3270142180094787
1235,0.6997225563294491,0.7388663967611336,0.3222748815165877
1482,0.6684289862993757,0.7540485829959515,0.3080568720379147
1729,0.6862066353139608,0.7530364372469636,0.5781990521327015
1976,0.535724920782483,0.7955465587044535,0.5355450236966826
2223,0.524608548655201,0.8107287449392713,0.6113744075829385
2470,0.5067380459202446,0.8168016194331984,0.5213270142180095
2717,0.5138729131414823,0.8087044534412956,0.4360189573459716
2964,0.5158237631504352,0.8107287449392713,0.6445497630331753
3211,0.5391275020625427,0.8006072874493927,0.4786729857819906
3458,0.48572171838418676,0.8097165991902834,0.5165876777251185
3705,0.4684078154655603,0.8289473684210527,0.5687203791469195
3952,0.47602625758300426,0.8228744939271255,0.5165876777251185
4199,0.4772816315474298,0.8279352226720648,0.5023696682464456
4446,0.5017107978523502,0.8168016194331984,0.5592417061611374
4693,0.47620550401297657,0.8350202429149798,0.48815165876777256
4940,0.4528572859793057,0.8390688259109312,0.5165876777251185
5187,0.4799521673425489,0.812753036437247,0.4312796208530806
5434,0.46680136230069136,0.8340080971659919,0.48815165876777256
5681,0.4344577100354168,0.8309716599190283,0.46919431279620855
5928,0.481403338402389,0.8188259109311741,0.45971563981042657
6175,0.4592218991474584,0.8309716599190283,0.49289099526066354
6422,0.45987018472269964,0.8360323886639677,0.5165876777251185
6669,0.47964490491610307,0.8168016194331984,0.4407582938388626
6916,0.5120353670376032,0.8137651821862348,0.48815165876777256
7163,0.504935564842784,0.8097165991902834,0.49289099526066354
7410,0.4817914005353866,0.8421052631578947,0.48341232227488157
7657,0.46260878847919495,0.8370445344129555,0.5402843601895735
7904,0.441630642363417,0.8289473684210527,0.5118483412322276
8151,0.48370806347985984,0.826923076923077,0.4786729857819906
8398,0.4709558137032667,0.8289473684210527,0.5308056872037915
8645,0.4657604100129865,0.8299595141700405,0.4502369668246446
8892,0.45979125815847144,0.8421052631578947,0.5071090047393365
9139,0.44919089876447127,0.8157894736842105,0.5355450236966826
9386,0.48236387521631807,0.8208502024291499,0.47393364928909953
9633,0.45859619190818385,0.8329959514170041,0.5781990521327015
9880,0.44701904088620714,0.8319838056680162,0.4502369668246446
10127,0.45887604440272095,0.8380566801619433,0.5165876777251185
10374,0.4909177132342991,0.8178137651821863,0.5355450236966826
10621,0.46309199965434517,0.8228744939271255,0.5071090047393365
10868,0.5172247906566149,0.8137651821862348,0.47393364928909953
11115,0.48641458708747676,0.8289473684210527,0.49289099526066354
11362,0.4858662431780626,0.8248987854251012,0.5165876777251185
11609,0.5015832493421037,0.8228744939271255,0.47393364928909953
11856,0.4810054588173083,0.8289473684210527,0.4407582938388626
12103,0.43572895838181497,0.840080971659919,0.5165876777251185
12350,0.5012288825352665,0.8238866396761134,0.4549763033175356
