steps,train_loss,train_acc,val_acc
127,0.43437698606423636,0.81237721021611,0.6611111111111111
254,0.31834521462266246,0.8644400785854617,0.8722222222222222
381,0.2774153176717065,0.8899803536345775,0.9222222222222223
509,0.2515513499382671,0.9066797642436148,0.9
636,0.25352870583651343,0.9027504911591355,0.9111111111111111
763,0.2302181897556852,0.8998035363457759,0.9055555555555556
890,0.22710288337967954,0.9086444007858545,0.9055555555555556
1018,0.2138579941568768,0.9096267190569743,0.9111111111111111
1145,0.21875752253944608,0.9066797642436148,0.8944444444444445
1272,0.22750984492376886,0.9204322200392927,0.9055555555555556
