steps,train_loss,train_acc,val_acc
254,0.8685253895489515,0.6538839724680433,0.7348066298342542
508,0.7030766646770601,0.711897738446411,0.8066298342541436
762,0.6154195527997575,0.7620452310717798,0.8066298342541436
1017,0.5781217964115162,0.7895771878072764,0.8121546961325966
1271,0.591193658236557,0.7758112094395281,0.7845303867403315
1525,0.5715229610309019,0.8013765978367748,0.8287292817679558
1779,0.5132815543060341,0.8033431661750247,0.7790055248618785
2034,0.4873508917078039,0.8102261553588987,0.8121546961325966
2288,0.4714439750421012,0.816125860373648,0.7955801104972375
2542,0.43552505102598327,0.839724680432645,0.8342541436464088
2796,0.3949115217728366,0.856440511307768,0.8232044198895028
3051,0.40081659554263016,0.8436578171091446,0.8232044198895028
3305,0.4148434650815928,0.8348082595870207,0.8342541436464088
3559,0.4454529184624626,0.8141592920353983,0.8287292817679558
3813,0.43221737841472047,0.8466076696165192,0.8453038674033149
4068,0.41854327811604053,0.839724680432645,0.8232044198895028
4322,0.4144194869868523,0.8387413962635202,0.8453038674033149
4576,0.41639043459615643,0.8338249754178958,0.8342541436464088
4830,0.4040794527870598,0.8495575221238939,0.8342541436464088
5085,0.41703963625513113,0.8377581120943953,0.8232044198895028
5339,0.43185470759458366,0.8279252704031466,0.8397790055248618
5593,0.413155566215984,0.8456243854473944,0.8232044198895028
