steps,train_loss,train_acc,val_acc
508,1.4275660870583946,0.512291052114061,0.5414364640883977
1017,1.0145707404718989,0.6007866273353,0.6795580110497237
1525,0.9013734050791055,0.6371681415929203,0.6077348066298343
2034,0.895056357601751,0.6273352999016716,0.5193370165745856
2542,0.7771867094021162,0.6676499508357916,0.6408839779005524
3051,0.7912032632935598,0.6715830875122911,0.6519337016574586
3559,0.7476988110101563,0.6912487708947886,0.6298342541436464
4068,0.7185834616920824,0.7089478859390365,0.6574585635359116
4576,0.7048785205318747,0.7236971484759096,0.6574585635359116
