steps,train_loss,train_acc,val_acc
254,0.8856533027328222,0.6814159292035399,0.7679558011049723
508,0.7176832951744515,0.7256637168141593,0.8176795580110496
762,0.6536907471621165,0.7502458210422812,0.7679558011049723
1017,0.6166487052494563,0.7472959685349067,0.6629834254143646
1271,0.632248836984325,0.7561455260570306,0.7900552486187845
1525,0.5392613076882377,0.784660766961652,0.8121546961325966
1779,0.5361818556354226,0.7954768928220256,0.7955801104972375
2034,0.5250888048957817,0.8023598820058998,0.8176795580110496
2288,0.5322201754842888,0.7807276302851525,0.8121546961325966
