steps,train_loss,train_acc,val_acc
254,0.46849143464110926,0.7730844793713163,0.7555555555555555
509,0.3959158446149414,0.8202357563850687,0.8722222222222222
763,0.37933552830181794,0.8290766208251473,0.85
1018,0.37569155082955574,0.8339882121807465,0.8722222222222222
1272,0.3682799755297382,0.8487229862475442,0.8555555555555556
1527,0.3345703334787271,0.8516699410609037,0.8388888888888889
1781,0.3210873421435272,0.8654223968565815,0.8388888888888889
2036,0.3137429066456137,0.8673870333988212,0.8444444444444444
2290,0.32985221871224274,0.8644400785854617,0.8833333333333334
2545,0.34563316925921,0.8634577603143417,0.85
2799,0.32430995400621754,0.8722986247544203,0.8666666666666667
3054,0.34151376883384055,0.8664047151277013,0.8777777777777778
3308,0.31617961674635914,0.8654223968565815,0.8222222222222223
3563,0.3275506825191801,0.8565815324165029,0.8555555555555556
3817,0.35980502344770376,0.8408644400785854,0.888888888888889
4072,0.37350307533806576,0.8428290766208251,0.8555555555555556
4326,0.34745531015405484,0.8585461689587426,0.8444444444444444
4581,0.3513412811667137,0.8428290766208251,0.8611111111111112
4835,0.35624787451476153,0.849705304518664,0.8666666666666667
5090,0.35696722906675693,0.8428290766208251,0.8388888888888889
5344,0.3595579061035089,0.8487229862475442,0.85
5599,0.3228379563229023,0.8673870333988212,0.8666666666666667
5853,0.38340748050240964,0.8320235756385068,0.85
6108,0.34897606238752077,0.8467583497053045,0.8555555555555556
6362,0.34689079986222837,0.8487229862475442,0.85
6617,0.3492801264367544,0.8506876227897838,0.8555555555555556
6871,0.347043577076644,0.8605108055009822,0.8055555555555556
7126,0.31944640943952535,0.8673870333988212,0.8388888888888889
7380,0.31734542791642,0.8781925343811394,0.8222222222222223
7635,0.32454415658133906,0.8693516699410608,0.85
7889,0.34517340476245917,0.8506876227897838,0.8277777777777778
8144,0.32517078917012465,0.8595284872298624,0.8611111111111112
8398,0.3654338304677974,0.8388998035363457,0.85
8653,0.3306274291691471,0.8654223968565815,0.8722222222222222
8907,0.33807534954285573,0.8654223968565815,0.8277777777777778
9162,0.3542063235065558,0.8595284872298624,0.8555555555555556
9416,0.34003447004994614,0.8555992141453831,0.85
9671,0.33673915984237124,0.8506876227897838,0.8666666666666667
9925,0.33415719436404745,0.8614931237721021,0.8555555555555556
10180,0.3423830346883163,0.8575638506876228,0.8444444444444444
10434,0.34320624887006457,0.8555992141453831,0.8666666666666667
10689,0.3594533373951209,0.8447937131630647,0.8333333333333334
10943,0.3623210695262976,0.8457760314341846,0.85
11198,0.34142179617361845,0.8614931237721021,0.8555555555555556
11452,0.31613179567052246,0.8585461689587426,0.8611111111111112
11707,0.3278175075712279,0.8654223968565815,0.8277777777777778
11961,0.3363785004803146,0.8614931237721021,0.8611111111111112
12216,0.3774296048523635,0.8447937131630647,0.8333333333333334
12470,0.3589070996156142,0.8526522593320235,0.8388888888888889
12725,0.38051261028278555,0.8388998035363457,0.8833333333333334
