steps,train_loss,train_acc,val_acc
127,0.8040249898604822,0.6735496558505408,0.6408839779005524
254,0.626646421534708,0.752212389380531,0.6298342541436464
381,0.6016595636731639,0.7689282202556539,0.6685082872928176
508,0.5229510856589034,0.7935103244837759,0.6353591160220994
635,0.5095799897624328,0.7994100294985251,0.712707182320442
762,0.4893143322381064,0.8033431661750247,0.6740331491712707
889,0.490094060508668,0.8062930186823992,0.6906077348066298
1017,0.42768643762744163,0.8348082595870207,0.7348066298342542
1144,0.4111027617956216,0.8377581120943953,0.7513812154696132
1271,0.3726652657856749,0.8505408062930188,0.7513812154696132
1398,0.38561434977877457,0.8505408062930188,0.7624309392265193
1525,0.3439724531497224,0.864306784660767,0.7569060773480663
1652,0.36447380953482117,0.8525073746312685,0.7624309392265193
1779,0.35043157682540726,0.8662733529990168,0.7734806629834254
1906,0.34444008218151984,0.8623402163225172,0.7679558011049723
2034,0.3189491230477977,0.8790560471976402,0.7790055248618785
2161,0.3427859122774242,0.8613569321533924,0.7624309392265193
2288,0.3400501806358555,0.8702064896755163,0.7624309392265193
2415,0.3208439918628719,0.8869223205506392,0.7624309392265193
2542,0.3091468029200386,0.8829891838741397,0.7790055248618785
2669,0.34416387613309635,0.8692232055063914,0.7734806629834254
2796,0.3532608506016089,0.8711897738446411,0.7679558011049723
2923,0.33685558758888506,0.8672566371681416,0.7679558011049723
3051,0.3677823036000675,0.8416912487708949,0.7845303867403315
3178,0.34272466800674695,0.8780727630285153,0.7790055248618785
3305,0.3179604961457154,0.8770894788593904,0.7569060773480663
3432,0.32390988177840574,0.8692232055063914,0.7679558011049723
3559,0.33023964221733043,0.872173058013766,0.7734806629834254
3686,0.34324549468217697,0.8633235004916421,0.7679558011049723
3813,0.36945958803302537,0.8633235004916421,0.7734806629834254
3940,0.3431727996383562,0.8692232055063914,0.7790055248618785
4068,0.3294099514228873,0.8741396263520158,0.7624309392265193
4195,0.3348378896009957,0.8741396263520158,0.7403314917127072
4322,0.3330119242241483,0.8692232055063914,0.7790055248618785
4449,0.33597676938027876,0.8633235004916421,0.7790055248618785
4576,0.35555762128726803,0.864306784660767,0.7679558011049723
4703,0.33225702500976295,0.8711897738446411,0.7734806629834254
4830,0.3353767572016608,0.8711897738446411,0.7734806629834254
4957,0.34670366251597595,0.8633235004916421,0.7679558011049723
5085,0.32176879795603347,0.873156342182891,0.7679558011049723
5212,0.340015831012407,0.8702064896755163,0.7679558011049723
5339,0.3367917475564407,0.8633235004916421,0.7734806629834254
5466,0.3419787673940818,0.8711897738446411,0.7734806629834254
5593,0.33959975718514174,0.8613569321533924,0.7679558011049723
5720,0.331564997970296,0.8692232055063914,0.7734806629834254
5847,0.32620598386053723,0.8790560471976402,0.7458563535911602
5974,0.3244734594603907,0.8692232055063914,0.7734806629834254
6102,0.3408701804300794,0.8741396263520158,0.7845303867403315
6229,0.326356251213989,0.872173058013766,0.7624309392265193
6356,0.33642150073393723,0.872173058013766,0.7624309392265193
