steps,train_loss,train_acc,val_acc
254,0.5515320300177647,0.737721021611002,0.7388888888888889
509,0.533509249859334,0.7838899803536346,0.8388888888888889
763,0.499742705660391,0.799607072691552,0.8722222222222222
1018,0.528527654926997,0.793713163064833,0.8222222222222223
1272,0.43771020915864256,0.8261296660117877,0.8611111111111112
1527,0.3569088406377785,0.8654223968565815,0.8555555555555556
1781,0.3467221174879486,0.8575638506876228,0.8222222222222223
2036,0.3107975228654846,0.8752455795677799,0.8444444444444444
2290,0.33257826770452714,0.868369351669941,0.8388888888888889
2545,0.3309295569164111,0.8722986247544203,0.8555555555555556
