steps,train_loss,train_acc,val_acc
509,0.9047118713146108,0.6355599214145383,0.8611111111111112
1018,0.5973073321674568,0.7043222003929273,0.7944444444444445
1527,0.5418941918723944,0.7396856581532416,0.75
2036,0.4178021608143752,0.8104125736738703,0.8611111111111112
2545,0.3935050361575687,0.8212180746561886,0.8444444444444444
3054,0.3853291398122877,0.8251473477406679,0.8555555555555556
3563,0.3864822089379335,0.8241650294695481,0.8222222222222223
4072,0.39774803588924335,0.8241650294695481,0.8444444444444444
