steps,train_loss,train_acc,val_acc
254,0.9093276567046504,0.6538839724680433,0.729281767955801
508,0.7567437771147332,0.7099311701081613,0.712707182320442
762,0.6380616567127824,0.7561455260570306,0.712707182320442
1017,0.5672521904740948,0.784660766961652,0.7403314917127072
1271,0.5031683109151227,0.7974434611602753,0.7458563535911602
1525,0.4951924874484832,0.8121927236971486,0.7734806629834254
1779,0.4977441338662904,0.7994100294985251,0.729281767955801
2034,0.44192739444965223,0.8220255653883973,0.7734806629834254
2288,0.47022826604786877,0.8141592920353983,0.7734806629834254
2542,0.4613296699617699,0.8053097345132744,0.7845303867403315
2796,0.4840908545777275,0.8121927236971486,0.7734806629834254
3051,0.4193241420983096,0.8328416912487709,0.7790055248618785
3305,0.4585308785401028,0.8230088495575222,0.7624309392265193
3559,0.4192509758437278,0.8367748279252705,0.7900552486187845
3813,0.4416112984176231,0.8289085545722714,0.7734806629834254
4068,0.42758555351339844,0.8348082595870207,0.7790055248618785
4322,0.4416699865457465,0.8426745329400197,0.7900552486187845
4576,0.4438800825247488,0.8289085545722714,0.7845303867403315
4830,0.4472299139056585,0.8377581120943953,0.7679558011049723
5085,0.43827614618965305,0.8328416912487709,0.7955801104972375
5339,0.47637792809288526,0.8151425762045231,0.7458563535911602
5593,0.43220086786950934,0.8318584070796461,0.7790055248618785
5847,0.42883049984597177,0.8377581120943953,0.7845303867403315
6102,0.44183811729988165,0.8259587020648969,0.7734806629834254
6356,0.44761528876209916,0.8298918387413963,0.7955801104972375
6610,0.49034813494808904,0.8151425762045231,0.7513812154696132
6864,0.438448565196147,0.8318584070796461,0.7790055248618785
