steps,loss,train_acc,val_acc
437,0.5466863081757118,0.7437070938215103,0.4928571428571428
874,0.5083357565144744,0.7612509534706331,0.6821428571428572
1311,0.4819190883163638,0.7772692601067888,0.7178571428571429
1748,0.424481119071137,0.8047292143401984,0.85
2185,0.46309986334325337,0.7848970251716247,0.7321428571428571
2622,0.4414579929694431,0.8062547673531656,0.8464285714285714
3059,0.42715667246135475,0.8215102974828375,0.75
3496,0.3852679270605928,0.8314263920671243,0.8178571428571428
3933,0.3840673302877822,0.8245614035087719,0.8535714285714285
4370,0.3955115394952368,0.8047292143401984,0.8464285714285714
4807,0.3856968092472839,0.8291380625476735,0.8357142857142857
5244,0.3568663780671963,0.8482074752097636,0.85
5681,0.3680874800734353,0.8390541571319604,0.8035714285714285
6118,0.3609912104160162,0.8352402745995424,0.8357142857142857
6555,0.3715934636970679,0.8314263920671243,0.8142857142857143
6992,0.3764738283858192,0.8306636155606407,0.8321428571428571
7429,0.3706325692906805,0.8344774980930588,0.8214285714285714
7866,0.3769126245531756,0.8283752860411899,0.8428571428571429
8303,0.3882151847772022,0.8215102974828375,0.8642857142857142
8740,0.35811196239757503,0.8443935926773456,0.8428571428571429
9177,0.3561516013380046,0.8443935926773456,0.8571428571428571
9614,0.36997904893917316,0.8428680396643784,0.7999999999999999
10051,0.3679843939596419,0.8245614035087719,0.8428571428571429
10488,0.33444176003916587,0.8504958047292144,0.825
10925,0.3731412661157429,0.8390541571319604,0.85
11362,0.3403894119447738,0.8482074752097636,0.8428571428571429
11799,0.36138354461216726,0.8535469107551488,0.8464285714285714
12236,0.3550938658365123,0.8344774980930588,0.8107142857142857
12673,0.3524044855326573,0.84744469870328,0.8571428571428571
13110,0.3559485610026062,0.8459191456903128,0.8785714285714286
13547,0.3569853321274758,0.8489702517162472,0.8714285714285714
13984,0.33978114468645815,0.8466819221967964,0.825
14421,0.3452274254448627,0.8428680396643784,0.8678571428571429
14858,0.3603777558429836,0.8390541571319604,0.825
15295,0.3430507863686341,0.858886346300534,0.875
15732,0.35398434692728076,0.8405797101449276,0.7964285714285714
16169,0.34982799337985043,0.855072463768116,0.8107142857142857
16606,0.357414371137238,0.8283752860411899,0.8428571428571429
17043,0.3673418076278416,0.8299008390541571,0.85
17480,0.35798362229363234,0.8466819221967964,0.8214285714285714
17917,0.3506348137747323,0.8428680396643784,0.8357142857142857
18354,0.35270027953827315,0.8543096872616324,0.8321428571428571
