steps,train_loss,train_acc,val_acc
508,1.2583472894590748,0.568338249754179,0.6574585635359116
1017,0.9700171100589261,0.6145526057030483,0.6187845303867403
1525,0.8686345513825806,0.6637168141592921,0.580110497237569
2034,0.7395789055932119,0.7020648967551623,0.6464088397790055
2542,0.7091509169416325,0.7010816125860374,0.6740331491712707
3051,0.7033723272170758,0.7217305801376598,0.6574585635359116
3559,0.6839119743925749,0.7227138643067847,0.6629834254143646
4068,0.6492651138919879,0.7472959685349067,0.7071823204419889
4576,0.6123054912542758,0.7541789577187807,0.6795580110497237
5085,0.6041577087977174,0.7581120943952803,0.723756906077348
5593,0.6046294823743132,0.7502458210422812,0.6740331491712707
6102,0.5867562974448752,0.7758112094395281,0.712707182320442
6610,0.5805382129013714,0.7738446411012783,0.7348066298342542
7119,0.5934732981839362,0.767944936086529,0.7016574585635359
7627,0.5531334664852101,0.7836774827925271,0.723756906077348
8136,0.5678055911171987,0.7767944936086529,0.729281767955801
8644,0.5506308584555529,0.7767944936086529,0.723756906077348
9153,0.5599400980165458,0.7659783677482793,0.6906077348066298
9661,0.5336128903466809,0.7905604719764012,0.729281767955801
10170,0.5579473616568154,0.7728613569321534,0.718232044198895
