steps,train_loss,train_acc,val_acc
1018,0.9664044710121361,0.7062868369351669,0.45
2036,0.5418264458947659,0.7357563850687622,0.6166666666666667
3054,0.5772870180648999,0.6866404715127701,0.5888888888888889
4072,0.5055888025547526,0.7593320235756384,0.5611111111111111
5090,0.4465460865401566,0.7956777996070726,0.55
6108,0.3960577101100873,0.8271119842829076,0.55
7126,0.3884992068724923,0.8290766208251473,0.55
8144,0.3725388326146045,0.8241650294695481,0.5444444444444445
9162,0.371152931176609,0.8487229862475442,0.5055555555555555
