epoch,loss,train_acc,val_acc
1,0.9430448937366714,0.6366459627329193,0.5942028985507246
2,0.9302537742362013,0.6625258799171843,0.2995169082125604
3,0.8746035802438392,0.6697722567287785,0.4444444444444444
4,0.8457174195019108,0.7018633540372672,0.5265700483091788
5,0.8104987313535149,0.6966873706004141,0.4541062801932367
6,0.7942613130030425,0.6997929606625259,0.5652173913043478
7,0.8269766089708909,0.7111801242236025,0.23671497584541062
8,0.6890424772572566,0.74120082815735,0.5555555555555556
9,0.6403776487455112,0.772256728778468,0.5748792270531401
10,0.6180152876406723,0.7681159420289856,0.5893719806763285
11,0.5786522367726201,0.7836438923395446,0.5990338164251208
12,0.5740382664568923,0.7960662525879918,0.5555555555555556
13,0.5927429785392793,0.7639751552795032,0.5845410628019323
14,0.6319679483987283,0.761904761904762,0.5555555555555556
15,0.562035026695911,0.7898550724637682,0.5555555555555556
16,0.5529696527968776,0.7753623188405797,0.5845410628019323
17,0.5694270135206219,0.7846790890269152,0.5603864734299516
18,0.5710926767955409,0.7991718426501035,0.5797101449275363
19,0.5880791137060517,0.7650103519668737,0.5845410628019323
20,0.6315587367206874,0.7763975155279503,0.5845410628019323
21,0.5627544623477612,0.7960662525879918,0.5072463768115941
22,0.6055734197051875,0.7795031055900622,0.5893719806763285
23,0.5301257247263353,0.7939958592132506,0.6328502415458936
24,0.6128543539447073,0.772256728778468,0.5845410628019323
25,0.5734203251128858,0.7763975155279503,0.5942028985507246
26,0.5815130519077151,0.7805383022774328,0.5845410628019323
27,0.5956514355558786,0.7712215320910973,0.5748792270531401
28,0.5771206437800982,0.7805383022774328,0.6183574879227053
29,0.6138568047287548,0.7939958592132506,0.5797101449275363
30,0.5833850281455749,0.7795031055900622,0.5797101449275363
31,0.5528183182697612,0.7929606625258799,0.5893719806763285
32,0.5598633251698615,0.8053830227743272,0.5845410628019323
33,0.5919092340745787,0.7898550724637682,0.5990338164251208
34,0.5802916636378128,0.7805383022774328,0.5845410628019323
35,0.6070719424858844,0.7815734989648033,0.5797101449275363
36,0.5965372443692778,0.7846790890269152,0.6038647342995169
37,0.526902771514395,0.8012422360248448,0.5990338164251208
38,0.5640720941635392,0.7950310559006212,0.6038647342995169
39,0.5549476092399771,0.7960662525879918,0.5990338164251208
40,0.5875169129475303,0.777432712215321,0.5797101449275363
41,0.5705703505571338,0.8022774327122154,0.5845410628019323
42,0.5492519153818087,0.7877846790890269,0.5942028985507246
43,0.5896140629460352,0.7888198757763976,0.5990338164251208
44,0.5934167216159789,0.7867494824016563,0.5458937198067633
45,0.5813711844616055,0.7929606625258799,0.5845410628019323
46,0.5721881245851023,0.7815734989648033,0.5797101449275363
47,0.594038780801785,0.7898550724637682,0.5942028985507246
48,0.5991148169983495,0.7795031055900622,0.5942028985507246
49,0.6091597520169758,0.7660455486542443,0.608695652173913
50,0.5693471098538512,0.7950310559006212,0.5942028985507246
