steps,loss,train_acc,val_acc
107,0.8968902836057627,0.5981308411214953,0.5604395604395604
214,0.8550333497680236,0.661214953271028,0.5714285714285715
321,0.7855530409055336,0.6892523364485981,0.5604395604395604
428,0.810887007652042,0.6752336448598131,0.47252747252747257
535,0.7516258129171122,0.6892523364485981,0.5714285714285715
642,0.688654672319644,0.6892523364485981,0.4835164835164836
749,0.6921370075406316,0.7056074766355139,0.5604395604395604
856,0.6397245448326396,0.7032710280373832,0.5934065934065934
963,0.630803822496227,0.7172897196261682,0.5604395604395604
1070,0.6890331112614302,0.6915887850467289,0.5824175824175825
1177,0.5452303254158697,0.7990654205607476,0.5824175824175825
1284,0.6303317069171746,0.7172897196261682,0.5824175824175825
1391,0.6605761097134831,0.733644859813084,0.6263736263736264
1498,0.6370844168362216,0.7429906542056074,0.5824175824175825
1605,0.5587872035592516,0.7803738317757009,0.6153846153846154
1712,0.6027240225366343,0.7546728971962616,0.6153846153846154
1819,0.5787402898351722,0.7546728971962616,0.5934065934065934
1926,0.5458270218049255,0.7990654205607476,0.6373626373626374
2033,0.6061187059244263,0.7453271028037383,0.6263736263736264
2140,0.5611149482080869,0.7827102803738317,0.5934065934065934
2247,0.6036981604645185,0.7476635514018691,0.5824175824175825
2354,0.6323891587067987,0.7476635514018691,0.6263736263736264
2461,0.5732433944940567,0.7803738317757009,0.6153846153846154
2568,0.5814548407759622,0.7663551401869159,0.6153846153846154
2675,0.5570768435424733,0.77803738317757,0.6263736263736264
2782,0.5968982926874518,0.7546728971962616,0.5824175824175825
2889,0.6039760362043559,0.7570093457943925,0.6263736263736264
2996,0.562785985731633,0.77803738317757,0.6043956043956045
3103,0.5960971111449126,0.7476635514018691,0.6263736263736264
3210,0.5625618240822141,0.77803738317757,0.5934065934065934
3317,0.5854637163264729,0.7499999999999999,0.6153846153846154
3424,0.5284524377539893,0.7827102803738317,0.6043956043956045
3531,0.5312803462844029,0.7710280373831775,0.6153846153846154
3638,0.5749116743279394,0.7710280373831775,0.6263736263736264
3745,0.5729608989764596,0.764018691588785,0.6263736263736264
3852,0.6085095872110295,0.7499999999999999,0.6593406593406594
3959,0.5319899376307693,0.7616822429906541,0.6043956043956045
4066,0.5564406756485734,0.7757009345794392,0.6153846153846154
4173,0.6036045840967481,0.764018691588785,0.6043956043956045
4280,0.5481737867415508,0.7663551401869159,0.6263736263736264
4387,0.6475951799722476,0.7149532710280373,0.6153846153846154
4494,0.6262761588408569,0.7313084112149533,0.5934065934065934
4601,0.5838567911185951,0.7429906542056074,0.6043956043956045
4708,0.6270829414095834,0.733644859813084,0.6153846153846154
4815,0.5924077415577719,0.7570093457943925,0.5934065934065934
4922,0.6148497707375856,0.7453271028037383,0.6043956043956045
5029,0.5719112485090149,0.7523364485981308,0.6043956043956045
5136,0.55032217808973,0.7593457943925233,0.6263736263736264
5243,0.5900409306599715,0.7663551401869159,0.6263736263736264
5350,0.5896679931711928,0.7616822429906541,0.6373626373626374
