steps,train_loss,train_acc,val_acc
254,1.0997720182586677,0.6057030481809244,0.6408839779005524
508,0.8561578542433658,0.6450344149459194,0.6795580110497237
762,0.7986365896058997,0.6823992133726647,0.712707182320442
1017,0.7534556967318937,0.7187807276302852,0.6187845303867403
1271,0.7101894123012689,0.7138643067846608,0.7348066298342542
1525,0.6722822767795011,0.7394296951819076,0.6740331491712707
1779,0.6014038553514546,0.7482792527040315,0.6574585635359116
2034,0.5492463291804933,0.7895771878072764,0.712707182320442
2288,0.5283196920138896,0.7915437561455261,0.7458563535911602
2542,0.4961048427350167,0.80039331366765,0.7900552486187845
2796,0.5034948091591354,0.808259587020649,0.7955801104972375
3051,0.48786484468416946,0.8013765978367748,0.7679558011049723
3305,0.5031102257492268,0.8023598820058998,0.7845303867403315
3559,0.4375322008672131,0.8259587020648969,0.8011049723756906
3813,0.4465485066908065,0.8289085545722714,0.7790055248618785
4068,0.42369380320771255,0.8289085545722714,0.7734806629834254
4322,0.44698251524506066,0.8220255653883973,0.7900552486187845
4576,0.4205200121817687,0.8200589970501475,0.7734806629834254
4830,0.43439991196348254,0.8357915437561456,0.7679558011049723
5085,0.4285630120171441,0.8180924287118978,0.7955801104972375
5339,0.40469785455171103,0.8318584070796461,0.7734806629834254
