steps,train_loss,train_acc,val_acc
1017,1.163042569348008,0.5496558505408063,0.56353591160221
2034,0.9035855887444908,0.6391347099311702,0.3867403314917127
3051,0.8030584025523656,0.672566371681416,0.281767955801105
4068,0.6497851694579673,0.728613569321534,0.43646408839779005
5085,0.6476670658342255,0.7335299901671584,0.3591160220994475
6102,0.6144294725875704,0.7453294001966568,0.4088397790055248
7119,0.5965125466401129,0.7502458210422812,0.2983425414364641
8136,0.5935525453430596,0.7541789577187807,0.24861878453038672
