steps,train_loss,train_acc,val_acc
127,0.48169470843374146,0.8153241650294695,0.8388888888888889
254,0.410678811532341,0.8438113948919449,0.8777777777777778
381,0.45718596907870473,0.799607072691552,0.6722222222222223
509,0.5436666953306067,0.7524557956777995,0.7722222222222223
636,0.4173638046607521,0.8084479371316305,0.8333333333333334
763,0.383122608211982,0.8320235756385068,0.85
890,0.34825511098142226,0.8467583497053045,0.8555555555555556
1018,0.34209346039356087,0.8614931237721021,0.8666666666666667
1145,0.37001265664466004,0.8428290766208251,0.8277777777777778
