steps,train_loss,train_acc,val_acc
254,0.6038840207287746,0.7593320235756384,0.7055555555555556
509,0.6412510154933498,0.7583497053045186,0.8388888888888889
763,0.4465672213342663,0.8113948919449901,0.7444444444444445
1018,0.4114157561586039,0.8330058939096266,0.8388888888888889
1272,0.36448158929764873,0.8565815324165029,0.8333333333333334
1527,0.3195382019098709,0.8654223968565815,0.8277777777777778
1781,0.321693780204402,0.8506876227897838,0.8388888888888889
2036,0.3261558529143249,0.8762278978388998,0.8055555555555556
2290,0.3052742080451932,0.8614931237721021,0.8388888888888889
