steps,train_loss,train_acc,val_acc
127,2.871382414474937,0.5874263261296659,0.5722222222222223
254,0.8469117241079072,0.5530451866404714,0.5388888888888889
381,0.8463588838258754,0.5854616895874263,0.45555555555555555
509,0.666881198030558,0.5589390962671905,0.5611111111111111
636,0.6459655073162146,0.5943025540275049,0.5611111111111111
763,0.6278572035678947,0.5648330058939096,0.55
890,0.648256237474078,0.5677799607072691,0.5333333333333333
1018,0.6161473822031602,0.6198428290766208,0.5111111111111112
